zone_id,hour,day_of_week,weather,special_event,passenger_demand
Z4,2,Tue,Rainy,0,40
Z5,12,Wed,Clear,0,86
Z3,22,Sat,Cloudy,0,130
Z5,8,Mon,Clear,0,104
Z5,20,Mon,Rainy,0,92
Z2,5,Tue,Clear,0,79
Z3,11,Thu,Clear,0,101
Z3,1,Mon,Clear,0,84
Z3,2,Mon,Clear,0,110
Z5,2,Thu,Clear,0,60
Z4,11,Tue,Rainy,0,41
Z3,14,Sat,Rainy,1,249
Z5,8,Sat,Clear,0,109
Z2,22,Mon,Rainy,0,83
Z4,7,Thu,Clear,0,69
Z2,10,Mon,Clear,0,79
Z4,15,Sun,Cloudy,0,49
Z5,21,Wed,Cloudy,0,89
Z1,3,Sat,Rainy,1,199
Z4,0,Sun,Clear,1,114
Z2,23,Fri,Cloudy,0,77
Z5,6,Wed,Clear,0,65
Z4,1,Mon,Clear,0,64
Z1,23,Tue,Clear,0,29
Z1,4,Sat,Rainy,0,71
Z3,6,Fri,Cloudy,0,106
Z3,3,Wed,Cloudy,1,218
Z2,4,Sat,Clear,0,79
Z4,23,Thu,Clear,0,17
Z4,0,Tue,Clear,0,33
Z3,0,Wed,Clear,1,195
Z4,14,Thu,Clear,0,46
Z4,19,Sun,Cloudy,0,101
Z1,18,Mon,Clear,0,84
Z3,9,Thu,Clear,0,138
Z5,17,Wed,Clear,0,80
Z3,2,Wed,Clear,0,107
Z5,10,Sun,Clear,0,81
Z1,14,Mon,Rainy,0,58
Z2,10,Thu,Cloudy,0,57
Z4,16,Thu,Cloudy,0,23
Z1,16,Mon,Clear,0,39
Z4,5,Thu,Clear,0,44
Z2,4,Sat,Clear,1,195
Z2,7,Mon,Rainy,0,122
Z1,1,Tue,Cloudy,0,39
Z2,15,Wed,Clear,0,64
Z5,19,Tue,Clear,0,84
Z2,23,Sat,Clear,0,102
Z4,11,Sun,Cloudy,0,92
Z4,5,Sat,Rainy,0,65
Z4,0,Fri,Clear,0,12
Z4,3,Fri,Clear,0,45
Z5,16,Fri,Clear,0,65
Z3,12,Mon,Clear,0,115
Z1,17,Thu,Clear,0,104
Z4,4,Sat,Clear,0,30
Z2,23,Tue,Cloudy,1,139
Z4,23,Sun,Cloudy,0,58
Z2,2,Tue,Clear,0,71
Z2,10,Tue,Cloudy,0,75
Z4,12,Tue,Clear,1,147
Z5,3,Sun,Clear,0,75
Z2,13,Fri,Clear,0,62
Z2,21,Tue,Clear,0,72
Z4,10,Sun,Clear,1,145
Z2,9,Sun,Clear,0,109
Z2,18,Thu,Clear,0,108
Z4,17,Sun,Rainy,0,130
Z4,5,Fri,Clear,0,46
Z1,14,Tue,Clear,0,43
Z5,20,Sun,Clear,0,116
Z5,9,Mon,Cloudy,0,130
Z2,4,Sun,Clear,0,69
Z5,4,Wed,Cloudy,0,45
Z2,9,Wed,Clear,0,112
Z1,4,Wed,Clear,0,60
Z4,2,Sun,Clear,0,47
Z4,22,Fri,Clear,0,22
Z4,5,Tue,Clear,0,18
Z5,3,Sat,Clear,0,62
Z1,17,Sat,Clear,0,117
Z5,8,Sat,Clear,0,104
Z5,16,Fri,Clear,0,65
Z1,12,Thu,Rainy,0,38
Z1,14,Mon,Clear,0,55
Z1,19,Mon,Cloudy,0,99
Z1,16,Wed,Cloudy,0,30
Z4,12,Wed,Clear,0,34
Z3,15,Sun,Clear,1,210
Z3,21,Sat,Clear,0,123
Z1,3,Sun,Cloudy,1,106
Z3,4,Sat,Cloudy,0,130
Z3,4,Wed,Cloudy,1,205
Z1,8,Tue,Rainy,0,87
Z3,16,Thu,Cloudy,0,117
Z5,12,Sun,Clear,0,102
Z2,1,Thu,Clear,0,69
Z2,12,Thu,Cloudy,1,129
Z1,21,Thu,Clear,0,37
Z4,20,Wed,Clear,0,31
Z1,22,Mon,Cloudy,1,118
Z4,18,Wed,Clear,0,81
Z2,2,Thu,Rainy,0,73
Z1,9,Wed,Cloudy,0,78
Z5,1,Thu,Clear,1,118
Z3,12,Fri,Rainy,0,131
Z4,18,Sat,Clear,0,101
Z3,16,Mon,Clear,0,108
Z3,20,Fri,Clear,0,107
Z1,13,Tue,Clear,0,40
Z3,11,Wed,Clear,1,191
Z5,20,Tue,Clear,1,150
Z3,11,Sun,Clear,0,140
Z1,10,Wed,Clear,0,61
Z5,6,Sat,Cloudy,0,93
Z2,3,Fri,Cloudy,0,55
Z3,18,Sat,Clear,0,183
Z1,0,Sun,Clear,1,160
Z2,23,Thu,Clear,0,107
Z2,2,Sat,Clear,0,112
Z4,12,Sat,Cloudy,0,53
Z5,14,Thu,Cloudy,0,73
Z3,1,Wed,Clear,0,106
Z1,10,Thu,Clear,0,34
Z4,3,Fri,Clear,0,28
Z5,18,Sat,Cloudy,1,229
Z4,16,Thu,Clear,0,6
Z5,2,Sun,Rainy,0,90
Z5,17,Sun,Cloudy,0,148
Z3,7,Sat,Clear,0,182
Z5,21,Fri,Clear,0,50
Z4,23,Tue,Rainy,0,80
Z5,18,Fri,Clear,1,195
Z3,4,Mon,Clear,0,106
Z3,6,Mon,Clear,0,73
Z4,20,Mon,Cloudy,0,15
Z2,7,Sat,Cloudy,0,120
Z2,4,Sun,Cloudy,0,111
Z5,16,Wed,Rainy,0,96
Z1,4,Sun,Rainy,0,78
Z5,3,Wed,Rainy,0,82
Z4,21,Wed,Clear,0,30
Z4,18,Sun,Clear,0,87
Z4,20,Sat,Cloudy,0,62
Z4,1,Fri,Cloudy,0,40
Z4,10,Wed,Cloudy,1,95
Z3,21,Tue,Clear,0,107
Z2,12,Sun,Cloudy,0,100
Z4,14,Sun,Cloudy,0,75
Z1,11,Mon,Clear,0,28
Z1,21,Fri,Clear,0,43
Z1,20,Mon,Clear,0,48
Z1,21,Sun,Clear,0,58
Z3,10,Sun,Clear,0,104
Z1,6,Wed,Clear,0,55
Z4,4,Fri,Clear,0,41
Z5,16,Thu,Cloudy,0,73
Z1,23,Tue,Cloudy,0,51
Z3,19,Wed,Cloudy,0,133
Z3,8,Sun,Clear,0,172
Z1,13,Wed,Clear,0,62
Z5,11,Tue,Rainy,0,68
Z1,5,Sun,Clear,0,80
Z3,16,Tue,Rainy,0,152
Z2,18,Thu,Cloudy,0,103
Z4,18,Wed,Clear,0,64
Z3,15,Sat,Rainy,0,134
Z1,11,Wed,Clear,0,39
Z4,11,Mon,Clear,0,37
Z1,19,Fri,Cloudy,0,70
Z1,5,Fri,Clear,0,46
Z2,22,Mon,Rainy,0,105
Z4,3,Sun,Clear,0,60
Z4,5,Fri,Clear,0,37
Z2,10,Tue,Clear,0,52
Z3,0,Fri,Cloudy,0,118
Z1,23,Fri,Clear,0,45
Z5,22,Mon,Clear,0,82
Z1,14,Sun,Cloudy,0,70
Z1,10,Thu,Clear,0,46
Z3,18,Fri,Cloudy,0,146
Z1,17,Sat,Clear,1,163
Z2,16,Fri,Cloudy,0,61
Z2,18,Thu,Cloudy,0,114
Z4,20,Mon,Clear,0,61
Z5,13,Thu,Clear,0,54
Z1,17,Mon,Rainy,0,110
Z1,18,Tue,Clear,0,88
Z3,14,Mon,Rainy,0,119
Z2,14,Tue,Clear,0,63
Z5,3,Tue,Clear,0,69
Z4,6,Mon,Clear,0,36
Z2,12,Sat,Rainy,0,85
Z4,2,Wed,Clear,0,39
Z3,15,Mon,Rainy,1,207
Z3,8,Fri,Rainy,1,237
Z1,7,Sat,Clear,0,96
Z5,19,Sat,Clear,0,143
Z4,12,Fri,Cloudy,1,117
Z2,16,Wed,Clear,0,88
Z3,16,Sat,Cloudy,0,118
Z1,16,Tue,Clear,0,42
Z1,0,Wed,Clear,0,32
Z4,7,Sun,Cloudy,0,94
Z3,18,Fri,Clear,0,146
Z5,5,Wed,Clear,0,40
Z3,2,Mon,Clear,0,97
Z4,4,Wed,Clear,0,5
Z4,12,Tue,Clear,0,10
Z3,14,Mon,Cloudy,0,127
Z4,13,Thu,Clear,0,26
Z3,22,Fri,Clear,0,113
Z2,15,Fri,Cloudy,0,107
Z3,17,Wed,Clear,0,146
Z3,21,Sat,Clear,0,140
Z4,21,Mon,Rainy,0,55
Z4,10,Thu,Cloudy,0,81
Z1,2,Mon,Clear,0,-5
Z1,21,Fri,Cloudy,0,39
Z2,9,Mon,Clear,0,110
Z1,9,Thu,Cloudy,0,69
Z3,20,Sat,Clear,0,138
Z4,15,Wed,Clear,0,29
Z1,11,Tue,Clear,0,53
Z1,1,Mon,Clear,0,23
Z2,8,Tue,Clear,1,183
Z2,23,Fri,Rainy,0,102
Z3,2,Wed,Clear,0,112
Z4,23,Sun,Clear,0,52
Z2,14,Wed,Clear,0,88
Z1,2,Mon,Clear,0,15
Z4,18,Sat,Cloudy,0,102
Z4,17,Wed,Clear,0,52
Z1,7,Mon,Clear,0,81
Z2,16,Mon,Clear,0,57
Z1,7,Tue,Cloudy,0,43
Z4,6,Wed,Clear,0,42
Z5,6,Mon,Clear,1,136
Z5,2,Tue,Clear,0,65
Z3,0,Thu,Clear,0,131
Z1,3,Sun,Clear,0,66
Z1,4,Tue,Cloudy,0,53
Z3,0,Tue,Cloudy,0,119
Z3,14,Mon,Cloudy,0,103
Z3,4,Fri,Clear,0,107
Z4,12,Fri,Clear,1,140
Z1,7,Sat,Clear,0,84
Z4,7,Fri,Rainy,0,83
Z3,4,Tue,Clear,0,129
Z1,8,Sat,Cloudy,0,77
Z4,0,Mon,Clear,0,39
Z4,3,Wed,Clear,0,6
Z3,2,Sun,Clear,0,136
Z1,1,Sun,Clear,0,60
Z3,7,Tue,Rainy,0,174
Z1,22,Tue,Rainy,0,50
Z5,8,Sat,Clear,0,102
Z2,1,Mon,Clear,0,80
Z2,13,Thu,Rainy,0,87
Z2,13,Tue,Cloudy,0,91
Z3,3,Thu,Clear,0,113
Z5,5,Thu,Clear,0,53
Z1,10,Fri,Clear,0,35
Z4,2,Mon,Clear,0,30
Z1,7,Sun,Clear,0,87
